camis,dba,boro,zipcode,cuisine_description,inspection_date,violation_code,violation_description,critical_flag,score,grade
50135724,XU CHU,Queens,11354,Chinese,2026-05-19T00:00:00.000,09B,Thawing procedure improper.,Not Critical,13,A
40808118,BAR TABAC,0,11701,French,2025-10-08T00:00:00.000,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,24,B
40882825,VERONA PIZZA,Brooklyn,11204,Pizza,2026-06-10T00:00:00.000,,,Not Applicable,,
41564788,THE LOCAL,Staten Island,,American,2026-05-30T00:00:00.000,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,23,
50138073,MADELINE'S,0,07307,American,2025-11-12T00:00:00.000,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,12,A
50145855,CHINA RED EXPRESS,Manhattan,10007,Chinese,2026-04-27T00:00:00.000,,,Not Applicable,,
50137159,MESS HALL,Bronx,10464,American,2025-12-19T00:00:00.000,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,47,
41570719,CHICKPEA,Manhattan,10121,American,2025-09-23T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,54,
50158107,1 FABENE,Manhattan,,Pizza,2025-05-08T00:00:00.000,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,27,N
50131689,SIDE BAR,Manhattan,10001,Bottled Beverages,2025-09-17T00:00:00.000,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11,A
50089572,WARNER MEDIA (BISTRO 35),Queens,,American,2025-08-04T00:00:00.000,09B,Thawing procedure improper.,Not Critical,16,
50108317,KFC,Manhattan,10003,Chicken,2026-01-08T00:00:00.000,04M,Live roaches in facility's food or non-food area.,Critical,14,
50134582,URSULA BROOKLYN,Brooklyn,11216,Mexican,2025-02-06T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,14,B
50038267,XIN LI,Brooklyn,11220,Chinese,2025-09-16T00:00:00.000,04M,Live roaches in facility's food or non-food area.,Critical,10,A
50081416,GREEDY POT,Manhattan,,Soul Food,2025-08-20T00:00:00.000,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11,A
50137981,CENTRAL PARK BOATHOUSE CAFE,Manhattan,,Continental,2025-09-12T00:00:00.000,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,32,
50176339,Kennedy Fried Chicken,Bronx,10456,Chicken,2026-02-19T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,16,B
50131346,ZHONG YUE,Queens,11373,Chinese,2025-12-01T00:00:00.000,,,Not Applicable,,
50141902,NEW SKY BAKERYLAND,Brooklyn,11204,Chinese,2025-08-05T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,21,B
50124494,MACHI MACHI,Queens,11354,Other,2025-06-15T00:00:00.000,,,Not Applicable,0,
50130805,METRO MARCHE,Manhattan,10019,American,2025-07-01T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,27,
50142449,HEN HOUSE NYC,Manhattan,10009,Middle Eastern,2026-04-04T00:00:00.000,,,Not Applicable,0,
50044289,BO KY,Manhattan,10013,Chinese,2025-10-15T00:00:00.000,09B,Thawing procedure improper.,Not Critical,21,
50177518,NEW CARNATION RESTAURANT,Brooklyn,11214,Chinese,2026-03-20T00:00:00.000,09B,Thawing procedure improper.,Not Critical,13,
50055011,FISH CHEEKS,Manhattan,10012,Thai,2025-11-08T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,42,
50119198,LUCKY ZHANG'S,Brooklyn,11220,Chinese,2025-04-17T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,22,B
50110606,EL BUEN SABOR 2,Queens,11423,Spanish,2026-06-16T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,41,Z
50168044,KABAB TOWN,Manhattan,10013,Mediterranean,2026-03-30T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,30,
50169123,BON PÂTÉS,Brooklyn,11203,Creole,2026-07-16T00:00:00.000,,,Not Applicable,0,
41477087,LE GAMIN,Brooklyn,11222,French,2026-06-11T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,27,Z
40976804,CHIPOTLE MEXICAN GRILL,Manhattan,10017,Tex-Mex,2025-03-24T00:00:00.000,04M,Live roaches in facility's food or non-food area.,Critical,27,
50117720,TAP NYC,Manhattan,10017,Brazilian,2025-11-05T00:00:00.000,,,Not Applicable,0,
50180497,MAXIM GARDEN,Queens,11435,Chinese,2026-02-12T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,28,
41489751,HUDSON CLEARWATER,Manhattan,10014,French,2026-05-04T00:00:00.000,04M,Live roaches in facility's food or non-food area.,Critical,12,A
50151960,PAPATHAI,Manhattan,,Thai,2026-02-17T00:00:00.000,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,14,
50143546,GOTHAM BURGER SOCIAL CLUB,Manhattan,10002,American,2026-07-18T00:00:00.000,,,Not Applicable,0,
50149428,TI HU TAIWANESE CUISINE,Queens,11362,Chinese,2025-11-25T00:00:00.000,,,Not Applicable,0,Z
50137981,CENTRAL PARK BOATHOUSE CAFE,Manhattan,,Continental,2025-09-12T00:00:00.000,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,32,
41534110,CHANG HONG,Brooklyn,11237,Chinese,2026-07-01T00:00:00.000,09B,Thawing procedure improper.,Not Critical,12,A
50160092,PASTASOLE,Manhattan,10009,Italian,2025-05-17T00:00:00.000,,,Not Applicable,0,
50162894,TACO BELL,Queens,11101,Tex-Mex,2025-04-23T00:00:00.000,,,Not Applicable,,
50015676,MASALA GRILL,Brooklyn,11217,Indian,2025-12-03T00:00:00.000,09B,Thawing procedure improper.,Not Critical,12,A
40524888,SISTERS,Manhattan,10035,Caribbean,2025-02-25T00:00:00.000,,,Not Applicable,0,
41382158,DUNKIN,Queens,,Donuts,2026-02-02T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,10,A
41194745,GOLDEN PALACE GOURMET,Queens,,Chinese,2025-07-09T00:00:00.000,20-Jun,Current letter grade or Grade Pending card not posted,Not Critical,,
50125420,MADE IN NEW YORK PIZZA,Manhattan,10023,Pizza,2026-06-04T00:00:00.000,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,22,Z
50102811,DA TOSCANO,Manhattan,10012,Italian,2025-10-18T00:00:00.000,,,Not Applicable,0,
50063311,NEW MULAN,Queens,11354,Chinese,2025-02-04T00:00:00.000,09B,Thawing procedure improper.,Not Critical,48,C
40557901,LA ISLA CUCHIFRITOS,Bronx,,Latin American,2026-09-10T00:00:00.000,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,45,
50008021,BOMBAY GRILL HOUSE,Manhattan,10019,Indian,2026-03-19T00:00:00.000,20-Jun,Current letter grade or Grade Pending card not posted,Not Critical,,
41612260,TROPICAL RESTAURANT/GO NATURAL,Queens,11421,Latin American,2026-06-25T00:00:00.000,04M,Live roaches in facility's food or non-food area.,Critical,26,
50124353,FISH NOODLE HOUSE,Staten Island,10306,Chinese,2025-05-15T00:00:00.000,09B,Thawing procedure improper.,Not Critical,9,A
50157989,HUNNY,Bronx,10451,Korean,2026-06-13T00:00:00.000,,,Not Applicable,0,
50166328,MUSTARD INDIAN EATERY,Manhattan,,Indian,2026-01-13T00:00:00.000,04M,Live roaches in facility's food or non-food area.,Critical,20,N
50057064,POCHANA,Queens,11103,Thai,2025-02-12T00:00:00.000,09B,Thawing procedure improper.,Not Critical,13,A
50160535,TUMI,Manhattan,10036,Peruvian,2026-05-16T00:00:00.000,09B,Thawing procedure improper.,Not Critical,11,A
50159000,DAISY'S DINER,Brooklyn,11215,American,2025-05-23T00:00:00.000,,,Not Applicable,,
41612260,TROPICAL RESTAURANT/GO NATURAL,Queens,11421,Latin American,2026-03-09T00:00:00.000,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,42,
41569764,BACCHUS,Brooklyn,,French,2026-05-29T00:00:00.000,09B,Thawing procedure improper.,Not Critical,23,
50063280,ENZO'S OF ARTHUR AVE,Bronx,10458,Italian,2026-09-13T00:00:00.000,,,Not Applicable,0,
50117774,AHIMSA,Manhattan,10016,Indian,2025-10-15T00:00:00.000,09B,Thawing procedure improper.,Not Critical,44,
50075543,FOO HING KITCHEN,Bronx,10454,Chinese,2026-08-25T00:00:00.000,,,Not Applicable,,
50107756,NOODLE CRAFT,Queens,11101,Chinese,2025-10-09T00:00:00.000,09B,Thawing procedure improper.,Not Critical,21,B
41194745,GOLDEN PALACE GOURMET,Queens,,Chinese,2026-01-20T00:00:00.000,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,41,
50142449,HEN HOUSE NYC,Manhattan,10009,Middle Eastern,2026-08-15T00:00:00.000,,,Not Applicable,0,
50178819,YOGURT CLUB,Manhattan,10028,Other,2026-08-31T00:00:00.000,,,Not Applicable,,
50070163,SHAH'S HALAL FOOD,Queens,11430,Pizza,2026-07-27T00:00:00.000,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,13,A
50077905,LAKOU CAFE,Brooklyn,11213,Coffee/Tea,2026-06-19T00:00:00.000,,,Not Applicable,0,
50173806,EARTHBAR,Brooklyn,11201,"Juice, Smoothies, Fruit Salads",2026-05-11T00:00:00.000,,,Not Applicable,0,Z
50124313,CAFE XOCHIMILCO,Queens,11101,Mexican,2025-04-18T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,19,B
41044394,DUNKIN,Brooklyn,11235,Jewish/Kosher,2026-06-18T00:00:00.000,09B,Thawing procedure improper.,Not Critical,9,
41049808,WAGNER COLLEGE - MAIN DINING   HALL,Staten Island,10301,American,2025-10-06T00:00:00.000,09B,Thawing procedure improper.,Not Critical,11,A
50132272,TIGER SUGAR,Manhattan,10017,Coffee/Tea,2025-02-20T00:00:00.000,04M,Live roaches in facility's food or non-food area.,Critical,30,C
50145991,MUNCH STREET FOOD,Brooklyn,11230,Jewish/Kosher,2025-12-22T00:00:00.000,,,Not Applicable,,
50004933,MEE NOODLE SHOP,Manhattan,10003,Chinese,2026-07-01T00:00:00.000,,,Not Applicable,,
50121035,787 COFFEE,Bronx,10454,Coffee/Tea,2025-11-10T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,20,
50111296,BIG WONG,Manhattan,10013,Chinese,2025-01-21T00:00:00.000,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,32,
50161064,CUISINE IMPERIAL,Queens,11411,Caribbean,2026-03-30T00:00:00.000,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A
